"COD_MUN","MUNICIPIO","Ano","Populacao","Sexo","Faixa_Etaria","Macro","GRS","RS"
"250010","AGUA BRANCA","2014","1990","Feminino","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2014","1876","Masculino","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2014","3866","Total","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2014","9869","Total","População Total","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2015","2028","Feminino","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2015","1918","Masculino","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2015","3946","Total","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2015","9945","Total","População Total","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2016","2070","Feminino","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2016","1985","Masculino","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2016","4055","Total","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2016","10016","Total","População Total","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2017","2109","Feminino","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2017","2050","Masculino","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2017","4159","Total","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2017","10087","Total","População Total","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2018","2148","Feminino","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2018","2115","Masculino","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2018","4263","Total","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2018","10161","Total","População Total","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2019","2186","Feminino","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2019","2178","Masculino","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2019","4364","Total","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2019","10234","Total","População Total","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2020","2222","Feminino","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2020","2240","Masculino","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2020","4462","Total","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2020","10306","Total","População Total","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2021","2277","Feminino","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2021","2311","Masculino","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2021","4588","Total","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2021","10375","Total","População Total","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2022","","Feminino","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2022","","Masculino","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2022","","Total","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
